TSS_score	group	gene
1.35186623306737	LPE	HDAC4
1.09224237309115	LPE	HDAC4
1.32601981349969	LPE	HDAC4
2.45610260493409	LPE	HDAC4
1.07972601720291	LPE	HDAC4
2.66787985777314	LPE	HDAC4
2.42904868778996	LPE	HDAC4
1.03806595891223	LPE	HDAC4
0.713088738168111	LPE	HDAC4
1.21336679695877	LPE	HDAC4
2.08681954053733	LPE	HDAC4
1.48280234560985	LPE	HDAC4
1.40778911575888	LPE	HDAC4
0.929404216306388	LPE	HDAC4
1.53210740159168	LPE	HDAC4
0.785062663964548	LPE	HDAC4
0.810141511452406	LPE	HDAC4
1.5251480021452	LPE	HDAC4
1.32743690419071	LPE	HDAC4
2.95457801910315	LPE	HDAC4
0.830544111138292	LPE	HDAC4
0.214982016597766	LPE	HDAC4
3.1340553862499	LPE	HDAC4
2.87786341060336	LPE	HDAC4
1.64604036814397	LPE	HDAC4
1.63971794867501	LPE	HDAC4
1.27337257915348	LPE	HDAC4
2.14681718023158	LPE	HDAC4
0.806807596481705	LPE	HDAC4
1.83489940949446	LPE	HDAC4
1.15264240639784	LPE	HDAC4
2.97508071499655	LPE	HDAC4
2.0139320357508	LPE	HDAC4
2.00925431755943	LPE	HDAC4
4.05351994614333	LPE	HDAC4
1.69207400805582	LPE	HDAC4
2.1597291517223	LPE	HDAC4
1.9343580673651	LPE	HDAC4
1.34526898549721	LPE	HDAC4
1.92466070195859	LPE	HDAC4
0.348490714090465	LPE	HDAC4
0.80523957989327	LPE	HDAC4
4.45682902147154	LPE	HDAC4
4.51988926477239	LPE	HDAC4
0.896676414903694	LPE	HDAC4
0.77976971369416	LPE	HDAC4
0.519796607616132	LPE	HDAC4
1.85342248814621	LPE	HDAC4
0.864918002010092	LPE	HDAC4
1.910222424905	LPE	HDAC4
0.896208654571983	LPE	HDAC4
1.01023314798381	LPE	HDAC4
1.27708041919642	LPE	HDAC4
1.83477303032697	LPE	HDAC4
2.08796853193461	LPE	HDAC4
1.63461310917345	LPE	HDAC4
2.01411726961264	LPE	HDAC4
0.68293554094914	LPE	HDAC4
2.64840384827798	LPE	HDAC4
1.10749915978958	LPE	HDAC4
0.197002013422147	LPE	HDAC4
1.43540947156591	LPE	HDAC4
0.642536383807981	LPE	HDAC4
0.99329250894344	LPE	HDAC4
1.76514914496864	LPE	HDAC4
0.852237558495255	LPE	HDAC4
1.13951541260718	LPE	HDAC4
1.47413023081096	LPE	HDAC4
0.854675292426233	LPE	HDAC4
6.585521413282	LPE	HDAC4
2.06052605448827	LPE	HDAC4
2.74183636087613	LPE	HDAC4
1.15002464191623	LPE	HDAC4
1.47425080018209	LPE	HDAC4
0.48987133147812	LPE	HDAC4
1.57962123763772	LPE	HDAC4
1.20977242702618	LPE	HDAC4
1.3875839216286	LPE	HDAC4
2.57819839485785	LPE	HDAC4
0.848490970603844	LPE	HDAC4
0.70398769255117	LPE	HDAC4
2.39857056302051	LPE	HDAC4
1.94887185177712	LPE	HDAC4
2.77449729260125	LPE	HDAC4
1.1256247975103	LPE	HDAC4
0.485734291999352	LPE	HDAC4
1.20604358364639	LPE	HDAC4
2.31668216624407	LPE	HDAC4
1.33387879969131	LPE	HDAC4
0.861039116319002	LPE	HDAC4
0.90709734710094	LPE	HDAC4
1.78465121203933	LPE	HDAC4
0.065842736396833	LPE	HDAC4
1.01934034737211	LPE	HDAC4
1.7895135119808	LPE	HDAC4
1.66673084068479	LPE	HDAC4
0.763403376482236	LPE	HDAC4
1.42037163835756	LPE	HDAC4
0.483193837048177	LPE	HDAC4
0.9675844693587	LPE	HDAC4
3.75926325660073	LPE	HDAC4
0.444879509364868	LPE	HDAC4
0.768545955590882	LPE	HDAC4
3.30327489215657	LPE	HDAC4
1.17596594356472	LPE	HDAC4
0.704349889090412	LPE	HDAC4
0.507802681253327	LPE	HDAC4
0.918598966869837	LPE	HDAC4
1.76842869653016	LPE	HDAC4
1.11884332397853	LPE	HDAC4
3.92258912734024	LPE	HDAC4
2.1488328508241	LPE	HDAC4
1.05116711564501	LPE	HDAC4
2.14372969733735	LPE	HDAC4
3.09637725834661	LPE	HDAC4
1.18702988387039	LPE	HDAC4
0.707449965435347	LPE	HDAC4
0.295025638217938	LPE	HDAC4
0.352275329701494	LPE	HDAC4
0.877854258178328	LPE	HDAC4
1.81384531160281	LPE	HDAC4
0.977663467701885	LPE	HDAC4
0.862846385999267	LPE	HDAC4
0.482784472280671	LPE	HDAC4
2.32042451438185	LPE	HDAC4
0.624245644332453	LPE	HDAC4
0.716423689854817	LPE	HDAC4
0.222276067275526	LPE	HDAC4
1.04693469870877	LPE	HDAC4
1.33417487921931	LPE	HDAC4
0.287386257218014	LPE	HDAC4
3.53219152355199	LPE	HDAC4
0.776385874807443	LPE	HDAC4
0.786010720920181	LPE	HDAC4
2.09080073171698	LPE	HDAC4
0	LPE	HDAC4
0.879187330207078	LPE	HDAC4
1.04490645710845	LPE	HDAC4
2.05752087912467	LPE	HDAC4
2.45647136346656	LPE	HDAC4
1.61734840064559	LPE	HDAC4
1.2875541132842	LPE	HDAC4
1.65846400491202	LPE	HDAC4
1.51840003678184	CTRL	HDAC4
0.502679679347565	CTRL	HDAC4
0.864756311196996	CTRL	HDAC4
0.367461904534993	CTRL	HDAC4
1.24255110088547	CTRL	HDAC4
1.57616974841977	CTRL	HDAC4
3.03590785888562	CTRL	HDAC4
1.4863914030622	CTRL	HDAC4
1.96785815441269	CTRL	HDAC4
1.00290724320115	CTRL	HDAC4
0.819639378012272	CTRL	HDAC4
