Gini	group	gene
0.7383514019986	LPE	HDAC4
0.947621909297275	LPE	HDAC4
0.960734360492536	LPE	HDAC4
1.00406338904539	LPE	HDAC4
0.952212085642481	LPE	HDAC4
0.934203504594878	LPE	HDAC4
0.857986924251938	LPE	HDAC4
0.965446267959024	LPE	HDAC4
0.85252652540875	LPE	HDAC4
0.986960777177211	LPE	HDAC4
0.822558021977556	LPE	HDAC4
1.03194185661745	LPE	HDAC4
0.966257078762792	LPE	HDAC4
0.902088266106425	LPE	HDAC4
1.31225676260345	LPE	HDAC4
0.87786857007039	LPE	HDAC4
0.911496512909342	LPE	HDAC4
0.884067332126976	LPE	HDAC4
0.888248057057524	LPE	HDAC4
0.692322778769981	LPE	HDAC4
0.938170040154725	LPE	HDAC4
0.747730249870666	LPE	HDAC4
1.10582880665619	LPE	HDAC4
0.808642114191444	LPE	HDAC4
0.835161756978666	LPE	HDAC4
0.969747859274725	LPE	HDAC4
1.1103774222858	LPE	HDAC4
0.905688009538563	LPE	HDAC4
0.846190406152794	LPE	HDAC4
0.808897500964926	LPE	HDAC4
0.867657961681244	LPE	HDAC4
0.805228895110323	LPE	HDAC4
0.98563924476159	LPE	HDAC4
0.866769817495624	LPE	HDAC4
1.02953552790455	LPE	HDAC4
0.808069365559224	LPE	HDAC4
0.697094345768468	LPE	HDAC4
0.955305412527696	LPE	HDAC4
1.00327307784572	LPE	HDAC4
1.01893198770269	LPE	HDAC4
0.857883212583251	LPE	HDAC4
1.08806471603034	LPE	HDAC4
0.966080205039101	LPE	HDAC4
0.98308199679086	LPE	HDAC4
0.934791606770956	LPE	HDAC4
0.847013622315704	LPE	HDAC4
0.845190026334865	LPE	HDAC4
0.838578970501549	LPE	HDAC4
0.967694695322534	LPE	HDAC4
0.886926212761639	LPE	HDAC4
0.89163439231026	LPE	HDAC4
0.991792217370823	LPE	HDAC4
1.11106211975925	LPE	HDAC4
1.18340364142354	LPE	HDAC4
1.03647610170714	LPE	HDAC4
0.883139217766235	LPE	HDAC4
0.766208686551584	LPE	HDAC4
0.751255242407453	LPE	HDAC4
0.964854098349115	LPE	HDAC4
1.16607078584394	LPE	HDAC4
0.86009176101147	LPE	HDAC4
0.894221387500849	LPE	HDAC4
1.09125774405993	LPE	HDAC4
0.987390652647727	LPE	HDAC4
1.10660712208335	LPE	HDAC4
0.939768256940217	LPE	HDAC4
0.830883850139596	LPE	HDAC4
0.77246666990493	LPE	HDAC4
0.84098792946487	LPE	HDAC4
0.89352945151455	LPE	HDAC4
0.901483568948225	LPE	HDAC4
0.986680952138483	LPE	HDAC4
0.9137046994045	LPE	HDAC4
1.03673682305048	LPE	HDAC4
1.05212172869781	LPE	HDAC4
0.835542368144834	LPE	HDAC4
0.822481635291495	LPE	HDAC4
0.915953864302923	LPE	HDAC4
1.09012219062342	LPE	HDAC4
1.00709426436846	LPE	HDAC4
0.94978011349066	LPE	HDAC4
1.12869788467879	LPE	HDAC4
0.840024232867017	LPE	HDAC4
1.14608530171211	LPE	HDAC4
1.15786513527936	LPE	HDAC4
0.9749748008354	LPE	HDAC4
0.964403393596554	LPE	HDAC4
0.917929229988304	LPE	HDAC4
0.796036481861024	LPE	HDAC4
0.779429963064246	LPE	HDAC4
0.963407716029341	LPE	HDAC4
0.97075156448464	LPE	HDAC4
0.856727355806718	LPE	HDAC4
0.99712516235332	LPE	HDAC4
0.925616760129532	LPE	HDAC4
0.943381036003061	LPE	HDAC4
0.821131276985084	LPE	HDAC4
1.03265543439565	LPE	HDAC4
1.05307097149323	LPE	HDAC4
1.09987770252928	LPE	HDAC4
0.966439704362917	LPE	HDAC4
1.05793314518362	LPE	HDAC4
0.896462418751227	LPE	HDAC4
0.935975022598227	LPE	HDAC4
0.947830519820852	LPE	HDAC4
0.881112930428596	LPE	HDAC4
0.940825434043136	LPE	HDAC4
1.02828594639424	LPE	HDAC4
1.14564056101932	LPE	HDAC4
0.920021569010371	LPE	HDAC4
0.92121068400422	LPE	HDAC4
0.850376301741123	LPE	HDAC4
1.15632416717752	LPE	HDAC4
0.915832626826463	LPE	HDAC4
0.679875782039961	LPE	HDAC4
0.923784024358616	LPE	HDAC4
0.918854109558442	LPE	HDAC4
1.05508590053753	LPE	HDAC4
1.15820564684561	LPE	HDAC4
1.01564589496339	LPE	HDAC4
1.10196768531374	LPE	HDAC4
0.900733575002701	LPE	HDAC4
1.24904482681034	LPE	HDAC4
1.04721881460778	LPE	HDAC4
0.963180271711117	LPE	HDAC4
0.944105975540072	LPE	HDAC4
1.10235986919076	LPE	HDAC4
0.949599181189283	LPE	HDAC4
1.05798038467683	LPE	HDAC4
0.923312279817073	LPE	HDAC4
0.985404269559787	LPE	HDAC4
0.927015038719138	LPE	HDAC4
1.02452178485687	LPE	HDAC4
0.901324715328237	LPE	HDAC4
0.964045374502252	LPE	HDAC4
1.02479503435145	LPE	HDAC4
0.984043282508444	LPE	HDAC4
0.85578471064894	LPE	HDAC4
0.90359529152675	LPE	HDAC4
0.788270009463492	LPE	HDAC4
0.849641684896326	LPE	HDAC4
0.932876333186497	LPE	HDAC4
0.89350153996384	LPE	HDAC4
0.969393764494934	CTRL	HDAC4
0.883234469159962	CTRL	HDAC4
1.01424133985137	CTRL	HDAC4
0.92824557152046	CTRL	HDAC4
0.938273696210332	CTRL	HDAC4
0.929935177178498	CTRL	HDAC4
1.08043291656283	CTRL	HDAC4
1.023089943508	CTRL	HDAC4
1.12966428713724	CTRL	HDAC4
1.13445341995203	CTRL	HDAC4
1.17960528759804	CTRL	HDAC4
