TSS_coverage	group	gene
1.10222971827892	LPE	PRKCE
1.23425926120649	LPE	PRKCE
1.04196388840753	LPE	PRKCE
1.11609120557707	LPE	PRKCE
1.09400900702889	LPE	PRKCE
1.04005892514787	LPE	PRKCE
0.885397132539491	LPE	PRKCE
1.07496678243808	LPE	PRKCE
1.01361346404837	LPE	PRKCE
1.0764705455534	LPE	PRKCE
0.982341669735061	LPE	PRKCE
1.12355845367885	LPE	PRKCE
1.03690663476775	LPE	PRKCE
0.953658930096901	LPE	PRKCE
1.1554933867372	LPE	PRKCE
0.970543866532485	LPE	PRKCE
0.964380920254618	LPE	PRKCE
1.07523044751995	LPE	PRKCE
0.988186187216617	LPE	PRKCE
1.04196173890209	LPE	PRKCE
1.06154156041618	LPE	PRKCE
1.09925282056028	LPE	PRKCE
1.0394714924105	LPE	PRKCE
1.08851244196262	LPE	PRKCE
1.10114368103079	LPE	PRKCE
1.07796652055198	LPE	PRKCE
1.10449672797877	LPE	PRKCE
1.02261241334216	LPE	PRKCE
1.14836324085057	LPE	PRKCE
0.9726563131395	LPE	PRKCE
1.02911215860713	LPE	PRKCE
1.10434414755943	LPE	PRKCE
1.12552471742818	LPE	PRKCE
0.86910978946692	LPE	PRKCE
1.08185442942643	LPE	PRKCE
0.981834368120242	LPE	PRKCE
0.995190167490993	LPE	PRKCE
1.06729563744293	LPE	PRKCE
1.09583501771572	LPE	PRKCE
0.94139538600368	LPE	PRKCE
1.1283225071389	LPE	PRKCE
1.0595869347264	LPE	PRKCE
1.1215740412278	LPE	PRKCE
1.01255580671339	LPE	PRKCE
1.07705094835715	LPE	PRKCE
1.24548789204479	LPE	PRKCE
1.05530518082072	LPE	PRKCE
1.07407852470523	LPE	PRKCE
0.993020098041216	LPE	PRKCE
1.07707496927096	LPE	PRKCE
1.13070882150816	LPE	PRKCE
1.05496510451279	LPE	PRKCE
0.952835771755562	LPE	PRKCE
1.04543593641525	LPE	PRKCE
0.98524307582869	LPE	PRKCE
1.25968872752562	LPE	PRKCE
0.857133336476712	LPE	PRKCE
1.15939077624584	LPE	PRKCE
1.16546710848048	LPE	PRKCE
1.07684834315489	LPE	PRKCE
0.903359838870107	LPE	PRKCE
1.01531512240051	LPE	PRKCE
1.11916942074851	LPE	PRKCE
0.983322553950702	LPE	PRKCE
1.17171076241256	LPE	PRKCE
1.06139960789253	LPE	PRKCE
1.12531992145198	LPE	PRKCE
1.00486747462784	LPE	PRKCE
0.986643791910079	LPE	PRKCE
1.05180615000988	LPE	PRKCE
1.0498446138577	LPE	PRKCE
1.12843823339287	LPE	PRKCE
1.04539390824975	LPE	PRKCE
0.905002802643752	LPE	PRKCE
0.899964027213522	LPE	PRKCE
0.964755158184628	LPE	PRKCE
0.903185459312983	LPE	PRKCE
1.12735199977062	LPE	PRKCE
1.01515996138145	LPE	PRKCE
1.08511733930914	LPE	PRKCE
0.911105163394155	LPE	PRKCE
0.898074267092698	LPE	PRKCE
1.05738975013658	LPE	PRKCE
0.970472084509787	LPE	PRKCE
0.868601584730793	LPE	PRKCE
1.19696955979947	LPE	PRKCE
0.909225758769519	LPE	PRKCE
1.16449714221549	LPE	PRKCE
1.09096337865705	LPE	PRKCE
1.07356798411992	LPE	PRKCE
1.13949159347149	LPE	PRKCE
1.19848182301091	LPE	PRKCE
1.02093887205079	LPE	PRKCE
1.14356041604312	LPE	PRKCE
1.04390214668492	LPE	PRKCE
1.07940633787307	LPE	PRKCE
0.97201567704461	LPE	PRKCE
0.945544171614954	LPE	PRKCE
1.08477194088472	LPE	PRKCE
0.974116839279446	LPE	PRKCE
0.889690847188705	LPE	PRKCE
1.0777414165131	LPE	PRKCE
1.04594199835862	LPE	PRKCE
0.944986821253626	LPE	PRKCE
1.12603154442816	LPE	PRKCE
1.01760445473184	LPE	PRKCE
1.02804518821656	LPE	PRKCE
1.0067579001856	LPE	PRKCE
0.988858975825252	LPE	PRKCE
0.905783514340976	LPE	PRKCE
1.02384011719075	LPE	PRKCE
1.09602945058949	LPE	PRKCE
1.02792503409246	LPE	PRKCE
1.01179020083922	LPE	PRKCE
1.10309196562523	LPE	PRKCE
1.12816932343424	LPE	PRKCE
1.0137663034256	LPE	PRKCE
1.00661435034599	LPE	PRKCE
1.02930366016417	LPE	PRKCE
1.06916060934437	LPE	PRKCE
1.01863043399723	LPE	PRKCE
0.922637597405492	LPE	PRKCE
0.936178817611389	LPE	PRKCE
1.18547726910398	LPE	PRKCE
0.821550161691934	LPE	PRKCE
0.953460835487278	LPE	PRKCE
0.931980757233499	LPE	PRKCE
0.876488751832324	LPE	PRKCE
1.07879074942634	LPE	PRKCE
1.02507265065736	LPE	PRKCE
0.974699640020485	LPE	PRKCE
1.08568640652825	LPE	PRKCE
0.805465152038217	LPE	PRKCE
1.01956188053349	LPE	PRKCE
1.1130663346121	LPE	PRKCE
1.0244675885034	LPE	PRKCE
0.991875129554606	LPE	PRKCE
1.15655755402246	LPE	PRKCE
1.08334167795185	LPE	PRKCE
1.19864868373778	LPE	PRKCE
1.00885902869673	LPE	PRKCE
1.0587145287315	LPE	PRKCE
0.988623273946197	LPE	PRKCE
1.08305497530538	CTRL	PRKCE
0.934450727651997	CTRL	PRKCE
0.957861014099823	CTRL	PRKCE
0.950308011273904	CTRL	PRKCE
0.975349120903012	CTRL	PRKCE
1.07779234974205	CTRL	PRKCE
1.06999777297438	CTRL	PRKCE
1.13245261407859	CTRL	PRKCE
0.796878025447267	CTRL	PRKCE
1.00480898255915	CTRL	PRKCE
1.14545226200453	CTRL	PRKCE
