TSS_score	group	gene
1.06261955609197	EPE	NT5C2
1.35848360509763	EPE	NT5C2
1.597119531909	EPE	NT5C2
0.899966633151278	EPE	NT5C2
0.963813540371378	EPE	NT5C2
1.32683927574154	EPE	NT5C2
1.67799967555314	EPE	NT5C2
0.947445077915524	EPE	NT5C2
1.03077146429572	EPE	NT5C2
1.16898980630601	EPE	NT5C2
0.89156961954623	EPE	NT5C2
1.13802848775973	EPE	NT5C2
1.55161861965811	EPE	NT5C2
0.966644331828262	EPE	NT5C2
0.895264509870524	EPE	NT5C2
0.933772944749888	EPE	NT5C2
1.47312739880126	EPE	NT5C2
0.915188290365461	EPE	NT5C2
1.36225378211443	EPE	NT5C2
1.08391825172673	EPE	NT5C2
1.61298941494324	EPE	NT5C2
1.65782651054652	EPE	NT5C2
0.744967646219705	EPE	NT5C2
1.58636060719352	EPE	NT5C2
0.97917153931795	EPE	NT5C2
1.22638698036671	EPE	NT5C2
1.12063001045863	EPE	NT5C2
1.18628457168305	EPE	NT5C2
1.30004864785479	EPE	NT5C2
0.697598902393088	EPE	NT5C2
1.24667344772948	EPE	NT5C2
1.51161987526085	EPE	NT5C2
1.17035474597217	EPE	NT5C2
1.0868219865547	EPE	NT5C2
1.21718798601803	EPE	NT5C2
1.10123651187885	EPE	NT5C2
1.3041503492622	EPE	NT5C2
1.06367988319177	EPE	NT5C2
0.710395665957423	EPE	NT5C2
1.38829638328745	EPE	NT5C2
0.817403770366336	EPE	NT5C2
1.19765158529977	EPE	NT5C2
1.02874297072135	EPE	NT5C2
0.854355995641165	EPE	NT5C2
1.50172563543496	EPE	NT5C2
0.891309350802606	EPE	NT5C2
1.46419615909862	EPE	NT5C2
0.968551464697912	EPE	NT5C2
1.29651685751571	EPE	NT5C2
1.11345892414006	EPE	NT5C2
1.7717530411846	EPE	NT5C2
1.19461398322756	EPE	NT5C2
0.812774291840883	EPE	NT5C2
0.799614949889361	EPE	NT5C2
1.35567333646592	EPE	NT5C2
1.23582546298558	EPE	NT5C2
0.855522745024522	EPE	NT5C2
1.3421625857149	EPE	NT5C2
1.38961248510507	EPE	NT5C2
1.05163445670207	EPE	NT5C2
1.43768570128798	EPE	NT5C2
1.77490135068493	EPE	NT5C2
1.08655315893871	EPE	NT5C2
1.10382026484685	EPE	NT5C2
0.960019672676991	EPE	NT5C2
1.14825724185928	EPE	NT5C2
0.877590098324106	EPE	NT5C2
0.948151840093879	EPE	NT5C2
0.813717203768591	EPE	NT5C2
1.31888684209793	EPE	NT5C2
0.864303873417675	EPE	NT5C2
1.15616681914994	EPE	NT5C2
1.06799912805939	EPE	NT5C2
1.56970497187028	EPE	NT5C2
0.909785066594035	EPE	NT5C2
1.42390071043408	EPE	NT5C2
1.09262467354261	EPE	NT5C2
1.44447739210419	EPE	NT5C2
1.25466720988877	EPE	NT5C2
1.41315908593196	CTRL	NT5C2
1.42456842607105	CTRL	NT5C2
1.3033849496944	CTRL	NT5C2
1.00775649440177	CTRL	NT5C2
0.786405983862472	CTRL	NT5C2
0.942480977819944	CTRL	NT5C2
0.89807365613142	CTRL	NT5C2
1.3897883690696	CTRL	NT5C2
1.01552321543578	CTRL	NT5C2
1.05518178384925	CTRL	NT5C2
0.902805427902868	CTRL	NT5C2
0.729818941029713	CTRL	NT5C2
1.23167235813334	CTRL	NT5C2
0.972892037210038	CTRL	NT5C2
0.811208523214799	CTRL	NT5C2
0.721732027854703	CTRL	NT5C2
0.89612512220711	CTRL	NT5C2
0.953810062160241	CTRL	NT5C2
1.00857625665792	CTRL	NT5C2
0.902271532439614	CTRL	NT5C2
1.15974588403686	CTRL	NT5C2
0.955702365239894	CTRL	NT5C2
0.832807453743077	CTRL	NT5C2
1.22482217048303	CTRL	NT5C2
0.998107465663292	CTRL	NT5C2
0.597395078254572	CTRL	NT5C2
0.827968436093481	CTRL	NT5C2
0.942039346761418	CTRL	NT5C2
0.737090249973119	CTRL	NT5C2
0.693286331019681	CTRL	NT5C2
1.14671919418798	CTRL	NT5C2
0.975681654891867	CTRL	NT5C2
0.679127956186742	CTRL	NT5C2
0.643661008465692	CTRL	NT5C2
1.11031005570865	CTRL	NT5C2
1.13776264592786	CTRL	NT5C2
1.112036970203	CTRL	NT5C2
0.990271356864978	CTRL	NT5C2
0.846071637401707	CTRL	NT5C2
1.34918614633933	CTRL	NT5C2
0.974103618208577	CTRL	NT5C2
1.28443326176273	CTRL	NT5C2
0.770253870867875	CTRL	NT5C2
0.915853099798248	CTRL	NT5C2
1.05223096164157	CTRL	NT5C2
1.27568111731962	CTRL	NT5C2
1.17149096121952	CTRL	NT5C2
0.893152037381106	CTRL	NT5C2
0.742231199442141	CTRL	NT5C2
0.963828407931958	CTRL	NT5C2
1.18615590194003	CTRL	NT5C2
0.836247116443577	CTRL	NT5C2
0.961003865576284	CTRL	NT5C2
0.645982284978533	CTRL	NT5C2
0.593718526256791	CTRL	NT5C2
1.096722303191	CTRL	NT5C2
1.1071675355119	CTRL	NT5C2
0.656928982639325	CTRL	NT5C2
1.16132041760982	CTRL	NT5C2
1.07801946636328	CTRL	NT5C2
1.18208940818914	CTRL	NT5C2
0.923055766192501	CTRL	NT5C2
0.929877700060266	CTRL	NT5C2
1.26912022051524	CTRL	NT5C2
1.15392323903335	CTRL	NT5C2
1.31693687747318	CTRL	NT5C2
0.981652487375148	CTRL	NT5C2
1.16416882456336	CTRL	NT5C2
0.805219950762536	CTRL	NT5C2
1.03179826055773	CTRL	NT5C2
1.16336198547606	CTRL	NT5C2
0.920537973241502	CTRL	NT5C2
