TSS_coverage	group	gene
0.932981527987867	EPE	PLEKHH1
1.06419149945045	EPE	PLEKHH1
1.09435563115558	EPE	PLEKHH1
1.12748160267101	EPE	PLEKHH1
1.04541549102965	EPE	PLEKHH1
1.40999036406363	EPE	PLEKHH1
1.03928104868222	EPE	PLEKHH1
1.0982069808968	EPE	PLEKHH1
0.906701378398644	EPE	PLEKHH1
0.990662901137698	EPE	PLEKHH1
1.07515799299633	EPE	PLEKHH1
1.11098612686988	EPE	PLEKHH1
1.11373613905427	EPE	PLEKHH1
1.15884012944839	EPE	PLEKHH1
1.14925768921536	EPE	PLEKHH1
1.07536541566417	EPE	PLEKHH1
1.27217131297054	EPE	PLEKHH1
1.13458727951189	EPE	PLEKHH1
1.15163273548079	EPE	PLEKHH1
0.998096472033646	EPE	PLEKHH1
0.949503434868585	EPE	PLEKHH1
1.12989333110073	EPE	PLEKHH1
1.01853190003942	EPE	PLEKHH1
1.07616729139871	EPE	PLEKHH1
0.849012374418067	EPE	PLEKHH1
1.04871271805625	EPE	PLEKHH1
0.975422171487499	EPE	PLEKHH1
1.00744037514282	EPE	PLEKHH1
1.03829174132792	EPE	PLEKHH1
1.02086041405551	EPE	PLEKHH1
0.980579783096236	EPE	PLEKHH1
1.05064681811294	EPE	PLEKHH1
1.17569514287279	EPE	PLEKHH1
0.992427070135842	EPE	PLEKHH1
1.03649011776443	EPE	PLEKHH1
0.939488289072984	EPE	PLEKHH1
1.1069689585206	EPE	PLEKHH1
1.24031362732988	EPE	PLEKHH1
1.0334293942954	EPE	PLEKHH1
0.882323977529173	EPE	PLEKHH1
1.0256307552875	EPE	PLEKHH1
1.20974193198567	EPE	PLEKHH1
0.993214607006043	EPE	PLEKHH1
1.20136762030548	EPE	PLEKHH1
1.11255041915762	EPE	PLEKHH1
1.08060950549957	EPE	PLEKHH1
1.02325231679755	EPE	PLEKHH1
0.975283618587532	EPE	PLEKHH1
1.10749628669572	EPE	PLEKHH1
0.975364618526872	EPE	PLEKHH1
1.38459565766889	EPE	PLEKHH1
0.968186209955198	EPE	PLEKHH1
0.93147023505189	EPE	PLEKHH1
0.903087444317751	EPE	PLEKHH1
1.18790951241011	EPE	PLEKHH1
0.915705846267376	EPE	PLEKHH1
1.28728477622235	EPE	PLEKHH1
1.26088764500436	EPE	PLEKHH1
1.15149101628543	EPE	PLEKHH1
1.08682500182255	EPE	PLEKHH1
1.07327301705288	EPE	PLEKHH1
0.927095250720999	EPE	PLEKHH1
0.998838389610455	EPE	PLEKHH1
1.10220271133993	EPE	PLEKHH1
0.94827927179801	EPE	PLEKHH1
1.22934138402055	EPE	PLEKHH1
1.0266888681469	EPE	PLEKHH1
1.18109377265343	EPE	PLEKHH1
1.11884815797393	EPE	PLEKHH1
1.31958546284102	EPE	PLEKHH1
0.901062334197251	EPE	PLEKHH1
1.13943833725336	EPE	PLEKHH1
1.01705072588897	EPE	PLEKHH1
1.09339480602548	EPE	PLEKHH1
1.12818124696947	EPE	PLEKHH1
0.960668762297242	EPE	PLEKHH1
