gini	group	gene
0.804658576310174	LPE	CCDC33
0.913136089589981	LPE	CCDC33
1.00299005199519	LPE	CCDC33
1.11647840820684	LPE	CCDC33
0.983385597486156	LPE	CCDC33
0.884686273353601	LPE	CCDC33
0.989296751881776	LPE	CCDC33
0.836502401742849	LPE	CCDC33
0.859927864708016	LPE	CCDC33
1.01637455922719	LPE	CCDC33
1.00069280929496	LPE	CCDC33
0.958916074124407	LPE	CCDC33
1.01659750604586	LPE	CCDC33
0.880043802640993	LPE	CCDC33
0.902101703768086	LPE	CCDC33
0.971476419760865	LPE	CCDC33
1.01682570299695	LPE	CCDC33
0.858404544488427	LPE	CCDC33
0.982433122066173	LPE	CCDC33
0.873654086870538	LPE	CCDC33
0.941699568375773	LPE	CCDC33
1.09377147370165	LPE	CCDC33
1.03660137566502	LPE	CCDC33
0.93492915390772	LPE	CCDC33
0.887742730199907	LPE	CCDC33
1.01757056971567	LPE	CCDC33
0.953617865341871	LPE	CCDC33
0.951622684592894	LPE	CCDC33
1.01768993845569	LPE	CCDC33
0.792325506584756	LPE	CCDC33
0.985892222766793	LPE	CCDC33
1.04767772564725	LPE	CCDC33
0.760084482637314	LPE	CCDC33
1.08745332788901	LPE	CCDC33
0.654938522486619	LPE	CCDC33
1.03749307158795	LPE	CCDC33
0.97855472280473	LPE	CCDC33
1.04281124325557	LPE	CCDC33
1.06172771765616	LPE	CCDC33
0.955692010806372	LPE	CCDC33
0.929979062449122	LPE	CCDC33
1.05030696790382	LPE	CCDC33
0.935696399248976	LPE	CCDC33
0.840763942846326	LPE	CCDC33
0.734171949737945	LPE	CCDC33
0.818467250345644	LPE	CCDC33
0.851423720314528	LPE	CCDC33
0.932520921564998	LPE	CCDC33
0.941445057350944	LPE	CCDC33
1.12701105828986	LPE	CCDC33
1.05029506290971	LPE	CCDC33
0.80069053029623	LPE	CCDC33
0.894519673929595	LPE	CCDC33
0.860406165864256	LPE	CCDC33
0.92840953474792	LPE	CCDC33
0.855771542647984	LPE	CCDC33
0.848649540865199	LPE	CCDC33
1.01151788878703	LPE	CCDC33
0.900702704533862	LPE	CCDC33
0.984588451591083	LPE	CCDC33
0.940169852733932	LPE	CCDC33
1.1074753359299	LPE	CCDC33
1.13763115193349	LPE	CCDC33
1.05267886187094	LPE	CCDC33
1.02908689876598	LPE	CCDC33
0.954114149931631	LPE	CCDC33
1.02890686000295	LPE	CCDC33
0.735072676415731	LPE	CCDC33
0.934284174078417	LPE	CCDC33
0.951797984839714	LPE	CCDC33
0.974176922811428	LPE	CCDC33
0.909278408961032	LPE	CCDC33
0.72941404450624	LPE	CCDC33
0.83471084198015	LPE	CCDC33
1.09203124126158	LPE	CCDC33
0.989513342760352	LPE	CCDC33
0.857100616428512	LPE	CCDC33
0.810301407483179	LPE	CCDC33
0.989237765137147	LPE	CCDC33
0.954221008580766	LPE	CCDC33
1.01531855841566	LPE	CCDC33
1.04984164516759	LPE	CCDC33
1.06609714011798	LPE	CCDC33
1.09504449461306	LPE	CCDC33
0.942880000376899	LPE	CCDC33
0.996837752999105	LPE	CCDC33
0.944924010087796	LPE	CCDC33
0.855987254606926	LPE	CCDC33
0.819901020300514	LPE	CCDC33
0.996724798844252	LPE	CCDC33
0.98569309196855	LPE	CCDC33
0.876659273551374	LPE	CCDC33
1.15392288738956	LPE	CCDC33
0.982866398946948	LPE	CCDC33
0.806107278879084	LPE	CCDC33
0.913935573578901	LPE	CCDC33
0.852476049828559	LPE	CCDC33
1.01923835514731	LPE	CCDC33
0.958899735601588	LPE	CCDC33
1.00669702424892	LPE	CCDC33
0.922815820472995	LPE	CCDC33
1.02181698291967	LPE	CCDC33
0.954432324631554	LPE	CCDC33
0.992934929583857	LPE	CCDC33
0.907192519750179	LPE	CCDC33
0.813465401483022	LPE	CCDC33
0.863803289962231	LPE	CCDC33
0.92562805821726	LPE	CCDC33
1.41452188081981	LPE	CCDC33
0.912472391823397	LPE	CCDC33
0.943740298539654	LPE	CCDC33
0.883020678498533	LPE	CCDC33
0.826444727358806	LPE	CCDC33
0.996746557680883	LPE	CCDC33
1.04044738998666	LPE	CCDC33
1.09451801703457	LPE	CCDC33
1.13975409762606	LPE	CCDC33
1.026819442469	LPE	CCDC33
0.856955322665567	LPE	CCDC33
0.850818386480514	LPE	CCDC33
0.868085593554053	LPE	CCDC33
0.792681403029937	LPE	CCDC33
0.837084326402089	LPE	CCDC33
1.02396231004987	LPE	CCDC33
0.892402728776215	LPE	CCDC33
0.999873050397621	LPE	CCDC33
1.16743685648809	LPE	CCDC33
0.981433420188774	LPE	CCDC33
0.866927293731318	LPE	CCDC33
0.929379129559792	LPE	CCDC33
0.845935526583198	LPE	CCDC33
0.843429950775162	LPE	CCDC33
1.08622057872268	LPE	CCDC33
0.934922624013672	LPE	CCDC33
0.996098558243656	LPE	CCDC33
0.981530682387519	LPE	CCDC33
0.94446198491066	LPE	CCDC33
1.09124104720806	LPE	CCDC33
0.823913305215589	LPE	CCDC33
0.895511688854266	LPE	CCDC33
0.948075235805958	LPE	CCDC33
1.01743053062574	LPE	CCDC33
0.941523194275037	LPE	CCDC33
1.16338584871609	CTRL	CCDC33
0.902571030205683	CTRL	CCDC33
0.836284350101251	CTRL	CCDC33
1.02709492320101	CTRL	CCDC33
0.857258600166479	CTRL	CCDC33
1.01840099445121	CTRL	CCDC33
0.913871839768795	CTRL	CCDC33
0.815308576667109	CTRL	CCDC33
0.841467816678272	CTRL	CCDC33
0.844715755139397	CTRL	CCDC33
1.11651708785787	CTRL	CCDC33
