TSS_coverage	group	gene
1.44906104813904	LPE	CCDC33
1.17195760155237	LPE	CCDC33
1.18088025000472	LPE	CCDC33
1.31849697404375	LPE	CCDC33
1.16890773690598	LPE	CCDC33
1.1771917205413	LPE	CCDC33
0.922961855752504	LPE	CCDC33
0.844012584866997	LPE	CCDC33
0.962554142454088	LPE	CCDC33
0.985922244570998	LPE	CCDC33
1.00377075597535	LPE	CCDC33
0.880242832194776	LPE	CCDC33
1.00235148847129	LPE	CCDC33
1.01847786369457	LPE	CCDC33
1.12776100711025	LPE	CCDC33
0.985117391104757	LPE	CCDC33
0.968939183373588	LPE	CCDC33
1.10688403705246	LPE	CCDC33
1.21388432930128	LPE	CCDC33
0.998918549622481	LPE	CCDC33
1.2369953938237	LPE	CCDC33
1.38335158692692	LPE	CCDC33
1.06572255802993	LPE	CCDC33
1.21593143070948	LPE	CCDC33
0.927569257148249	LPE	CCDC33
0.965366229085176	LPE	CCDC33
1.21678730327967	LPE	CCDC33
1.22818596851168	LPE	CCDC33
0.935619074046501	LPE	CCDC33
0.878898829704866	LPE	CCDC33
0.985234050043661	LPE	CCDC33
1.12488052971392	LPE	CCDC33
1.1852162210242	LPE	CCDC33
1.20308026258597	LPE	CCDC33
1.13846341284061	LPE	CCDC33
1.23358237350007	LPE	CCDC33
1.07020812815538	LPE	CCDC33
0.998855582925916	LPE	CCDC33
1.11605508524334	LPE	CCDC33
0.919483072298473	LPE	CCDC33
1.24553663924998	LPE	CCDC33
0.988930682078813	LPE	CCDC33
1.27854555355823	LPE	CCDC33
0.921596326606267	LPE	CCDC33
0.952994365352878	LPE	CCDC33
0.975324593167551	LPE	CCDC33
0.92243296138246	LPE	CCDC33
1.22204562989327	LPE	CCDC33
0.879584065785492	LPE	CCDC33
1.13195088332299	LPE	CCDC33
1.01416708093838	LPE	CCDC33
1.02288202794346	LPE	CCDC33
0.946845505588199	LPE	CCDC33
0.899717828531645	LPE	CCDC33
0.924483061783885	LPE	CCDC33
1.56594627657952	LPE	CCDC33
0.806856280308319	LPE	CCDC33
1.19956181455609	LPE	CCDC33
1.21641182662641	LPE	CCDC33
1.10079157456567	LPE	CCDC33
1.04515611325315	LPE	CCDC33
0.963900626843687	LPE	CCDC33
0.978776338892965	LPE	CCDC33
1.06919399806136	LPE	CCDC33
1.06388168000024	LPE	CCDC33
0.939873201441543	LPE	CCDC33
1.30327017351253	LPE	CCDC33
1.06731748618696	LPE	CCDC33
0.950702265585637	LPE	CCDC33
0.906215903876756	LPE	CCDC33
0.872280384456418	LPE	CCDC33
1.03265559167148	LPE	CCDC33
0.939539907130446	LPE	CCDC33
1.11876255310419	LPE	CCDC33
0.818127864811864	LPE	CCDC33
0.97973573129536	LPE	CCDC33
0.909221784470004	LPE	CCDC33
0.946652123861563	LPE	CCDC33
1.1254255438259	LPE	CCDC33
0.926825478776614	LPE	CCDC33
0.924432688118311	LPE	CCDC33
0.897994457369698	LPE	CCDC33
0.85863247236506	LPE	CCDC33
1.10731900938382	LPE	CCDC33
1.02947097692851	LPE	CCDC33
1.16846775061599	LPE	CCDC33
1.06957115657741	LPE	CCDC33
1.19407279828317	LPE	CCDC33
1.14047126410075	LPE	CCDC33
1.28667283049692	LPE	CCDC33
1.13467803579241	LPE	CCDC33
